timestamp,etat_machine,vibration_x,vibration_y,vibration_z
2025-06-04 00:11:24,en_marche,1.28,1.09,1.12
2025-06-04 00:12:24,en_marche,0.63,1.03,0.84
2025-06-04 00:13:24,en_marche,0.73,0.99,1.23
2025-06-04 00:14:24,en_marche,0.55,1.04,0.9
2025-06-04 00:15:24,en_marche,0.77,0.89,0.88
2025-06-04 00:16:24,en_marche,0.76,0.23,0.83
2025-06-04 00:17:24,en_marche,0.87,0.91,0.42
2025-06-04 00:18:24,en_marche,1.33,0.18,0.39
2025-06-04 00:19:24,en_marche,0.78,0.55,0.99
2025-06-04 00:20:24,en_marche,1.06,0.71,1.49
2025-06-04 00:21:24,en_marche,1.41,1.3,0.54
2025-06-04 00:22:24,en_marche,1.24,1.24,1.11
2025-06-04 00:23:24,en_marche,0.2,0.35,0.7
2025-06-04 00:24:24,en_marche,1.18,0.63,0.32
2025-06-04 00:25:24,en_marche,0.92,1.16,0.41
2025-06-04 00:26:24,en_marche,0.48,0.56,1.16
2025-06-04 00:27:24,en_marche,0.76,0.65,1.05
2025-06-04 00:28:24,en_marche,1.12,1.15,1.03
2025-06-04 00:29:24,en_marche,0.61,1.25,0.83
2025-06-04 00:30:24,en_marche,0.93,0.56,0.76
2025-06-04 00:31:24,en_marche,0.83,0.81,1.01
2025-06-04 00:32:24,en_marche,0.96,1.19,1.06
2025-06-04 00:33:24,en_marche,0.92,0.82,0.95
2025-06-04 00:34:24,en_marche,0.89,0.79,0.51
2025-06-04 00:35:24,en_marche,0.83,0.95,0.9
2025-06-04 00:36:24,en_marche,0.75,1.51,0.72
2025-06-04 00:37:24,en_marche,0.87,0.64,0.77
2025-06-04 00:38:24,en_marche,0.81,1.09,1.02
2025-06-04 00:39:24,en_marche,0.95,1.23,1.05
2025-06-04 00:40:24,en_marche,0.31,0.79,0.64
2025-06-04 00:41:24,en_marche,1.07,0.59,1.06
2025-06-04 00:42:24,en_marche,0.95,0.61,0.36
2025-06-04 00:43:24,en_marche,1.01,0.56,0.56
2025-06-04 00:44:24,en_marche,0.97,0.34,0.7
2025-06-04 00:45:24,en_marche,0.92,0.64,0.96
2025-06-04 00:46:24,en_marche,1.36,0.86,1.21
2025-06-04 00:47:24,en_marche,0.53,0.99,0.82
2025-06-04 00:48:24,en_marche,0.6,1.16,0.86
2025-06-04 00:49:24,en_marche,0.74,0.57,0.61
2025-06-04 00:50:24,en_marche,0.53,0.93,0.38
2025-06-04 00:51:24,en_marche,0.75,0.7,0.38
2025-06-04 00:52:24,en_marche,1.53,1.1,0.66
2025-06-04 00:53:24,en_marche,0.88,1.07,0.52
2025-06-04 00:54:24,en_marche,0.68,1.03,0.83
2025-06-04 00:55:24,en_marche,1.05,0.88,0.87
2025-06-04 00:56:24,en_marche,1.17,0.18,0.58
2025-06-04 00:57:24,en_marche,0.62,0.22,0.84
2025-06-04 00:58:24,en_marche,1.07,0.6,0.72
2025-06-04 00:59:24,en_marche,0.72,0.7,0.62
2025-06-04 01:00:24,en_marche,1.15,0.38,0.78
2025-06-04 01:01:24,en_marche,1.11,0.59,0.52
2025-06-04 01:02:24,en_marche,0.7,1.05,0.69
2025-06-04 01:03:24,en_marche,0.93,0.8,0.84
2025-06-04 01:04:24,en_marche,0.85,0.55,0.92
2025-06-04 01:05:24,en_marche,0.23,0.5,0.4
2025-06-04 01:06:24,en_marche,1.09,1.03,0.83
2025-06-04 01:07:24,en_marche,1.1,0.65,0.83
2025-06-04 01:08:24,en_marche,0.67,1.26,0.69
2025-06-04 01:09:24,en_marche,0.81,0.91,1.38
2025-06-04 01:10:24,en_marche,1.35,0.67,0.19
2025-06-04 01:11:24,en_marche,0.93,1.19,0.71
2025-06-04 01:12:24,en_marche,0.89,1.24,0.76
2025-06-04 01:13:24,en_marche,0.98,0.7,0.51
2025-06-04 01:14:24,en_marche,0.61,0.93,0.69
2025-06-04 01:15:24,en_marche,0.9,0.2,1.14
2025-06-04 01:16:24,en_marche,0.83,0.24,1.16
2025-06-04 01:17:24,en_marche,0.74,0.32,1.05
2025-06-04 01:18:24,en_marche,0.68,1.26,0.85
2025-06-04 01:19:24,en_marche,1.01,0.91,1.02
2025-06-04 01:20:24,en_marche,0.66,0.61,0.93
2025-06-04 01:21:24,en_marche,0.64,0.52,0.64
2025-06-04 01:22:24,en_marche,1.17,0.77,0.91
2025-06-04 01:23:24,en_marche,0.99,0.95,0.93
2025-06-04 01:24:24,en_marche,0.78,0.91,0.71
2025-06-04 01:25:24,en_marche,0.49,0.88,0.48
2025-06-04 01:26:24,en_marche,0.9,0.89,0.43
2025-06-04 01:27:24,en_marche,0.87,0.72,0.43
2025-06-04 01:28:24,en_marche,0.88,0.85,0.99
2025-06-04 01:29:24,en_marche,0.49,0.77,0.9
2025-06-04 01:30:24,en_marche,1.01,0.83,0.66
2025-06-04 01:31:24,en_marche,0.54,0.94,1.51
2025-06-04 01:32:24,en_marche,0.75,0.61,0.54
2025-06-04 01:33:24,en_marche,0.23,0.83,0.24
2025-06-04 01:34:24,en_marche,0.63,0.96,0.87
2025-06-04 01:35:24,en_marche,0.54,0.71,0.77
2025-06-04 01:36:24,en_marche,0.44,1.12,0.27
2025-06-04 01:37:24,en_marche,0.46,0.76,0.23
2025-06-04 01:38:24,en_marche,0.54,1.11,0.99
2025-06-04 01:39:24,en_marche,1.16,0.96,0.22
2025-06-04 01:40:24,en_marche,1.25,0.89,0.88
2025-06-04 01:41:24,en_marche,0.49,0.91,0.66
2025-06-04 01:42:24,en_marche,0.73,0.5,0.35
2025-06-04 01:43:24,en_marche,1.18,1.28,0.58
2025-06-04 01:44:24,en_marche,0.86,0.51,1.18
2025-06-04 01:45:24,en_marche,1.05,0.67,0.89
2025-06-04 01:46:24,en_marche,0.41,0.58,1.02
2025-06-04 01:47:24,en_marche,0.77,0.54,1.03
2025-06-04 01:48:24,en_marche,0.77,0.82,0.9
2025-06-04 01:49:24,en_marche,1.03,0.22,0.68
2025-06-04 01:50:24,en_marche,1.0,0.57,0.24
2025-06-04 01:51:24,en_marche,0.77,0.58,0.77
2025-06-04 01:52:24,en_marche,0.54,0.36,1.52
2025-06-04 01:53:24,en_marche,0.54,0.95,0.54
2025-06-04 01:54:24,en_marche,0.83,1.21,0.71
2025-06-04 01:55:24,en_marche,0.41,0.82,0.48
2025-06-04 01:56:24,en_marche,0.62,0.8,1.26
2025-06-04 01:57:24,en_marche,0.81,0.3,0.76
2025-06-04 01:58:24,en_marche,1.0,0.49,0.67
2025-06-04 01:59:24,en_marche,1.35,0.9,0.78
2025-06-04 02:00:24,en_marche,0.91,0.8,1.08
2025-06-04 02:01:24,en_marche,1.09,0.86,0.66
2025-06-04 02:02:24,en_marche,1.52,1.16,0.97
2025-06-04 02:03:24,en_marche,0.61,1.14,0.2
2025-06-04 02:04:24,en_marche,0.93,1.07,0.94
2025-06-04 02:05:24,en_marche,1.05,0.88,0.58
2025-06-04 02:06:24,en_marche,0.6,0.67,0.81
2025-06-04 02:07:24,en_marche,0.87,1.11,1.16
2025-06-04 02:08:24,en_marche,1.1,0.37,1.05
2025-06-04 02:09:24,en_marche,0.82,1.01,0.5
2025-06-04 02:10:24,en_marche,0.34,0.57,1.25
2025-06-04 02:11:24,en_marche,0.86,0.75,0.55
2025-06-04 02:12:24,en_marche,0.79,0.91,1.49
2025-06-04 02:13:24,en_marche,0.77,1.01,1.1
2025-06-04 02:14:24,en_marche,0.6,0.42,0.27
2025-06-04 02:15:24,en_marche,0.42,0.59,0.67
2025-06-04 02:16:24,en_marche,0.72,0.24,0.99
2025-06-04 02:17:24,en_marche,0.66,0.6,0.98
2025-06-04 02:18:24,en_marche,0.65,0.72,1.0
2025-06-04 02:19:24,en_marche,1.17,0.49,0.78
2025-06-04 02:20:24,en_marche,1.35,1.17,0.54
2025-06-04 02:21:24,en_marche,0.5,1.0,0.99
2025-06-04 02:22:24,en_marche,0.8,0.63,0.24
2025-06-04 02:23:24,en_marche,0.95,0.88,0.67
2025-06-04 02:24:24,en_marche,0.89,0.72,0.5
2025-06-04 02:25:24,en_marche,0.79,1.13,1.12
2025-06-04 02:26:24,en_marche,0.65,0.95,0.91
2025-06-04 02:27:24,en_marche,0.99,0.88,0.74
2025-06-04 02:28:24,en_marche,0.43,0.66,0.38
2025-06-04 02:29:24,en_marche,0.56,0.8,0.59
2025-06-04 02:30:24,en_marche,1.19,0.58,0.82
2025-06-04 02:31:24,en_marche,0.87,0.77,0.3
2025-06-04 02:32:24,en_marche,0.16,0.67,0.58
2025-06-04 02:33:24,en_marche,1.1,0.48,0.82
2025-06-04 02:34:24,en_marche,1.22,0.3,1.03
2025-06-04 02:35:24,en_marche,0.91,0.94,1.05
2025-06-04 02:36:24,en_marche,0.29,0.41,0.41
2025-06-04 02:37:24,en_marche,0.59,0.93,1.14
2025-06-04 02:38:24,en_marche,0.89,1.49,0.55
2025-06-04 02:39:24,en_marche,0.84,0.92,1.36
2025-06-04 02:40:24,en_marche,0.6,0.83,0.8
2025-06-04 02:41:24,en_marche,1.03,1.02,1.53
2025-06-04 02:42:24,en_marche,0.4,0.84,1.0
2025-06-04 02:43:24,en_marche,0.25,1.11,0.5
2025-06-04 02:44:24,en_marche,1.08,0.49,0.63
2025-06-04 02:45:24,en_marche,0.71,1.34,0.78
2025-06-04 02:46:24,en_marche,0.96,0.92,0.59
2025-06-04 02:47:24,en_marche,0.86,0.54,0.78
2025-06-04 02:48:24,en_marche,0.94,0.73,1.32
2025-06-04 02:49:24,en_marche,0.34,1.1,0.78
2025-06-04 02:50:24,en_marche,0.69,0.48,0.58
2025-06-04 02:51:24,en_marche,0.74,0.99,0.98
2025-06-04 02:52:24,en_marche,0.93,0.4,0.69
2025-06-04 02:53:24,en_marche,0.51,0.19,1.17
2025-06-04 02:54:24,en_marche,0.75,0.72,1.18
2025-06-04 02:55:24,en_marche,0.69,0.67,1.2
2025-06-04 02:56:24,en_marche,0.64,0.83,1.2
2025-06-04 02:57:24,en_marche,0.5,0.63,1.04
2025-06-04 02:58:24,en_marche,1.04,0.79,1.02
2025-06-04 02:59:24,en_marche,0.9,0.7,1.37
2025-06-04 03:00:24,en_marche,0.81,0.94,1.03
2025-06-04 03:01:24,en_marche,0.69,0.93,0.85
2025-06-04 03:02:24,en_marche,0.18,1.19,0.43
2025-06-04 03:03:24,en_marche,1.09,1.12,0.59
2025-06-04 03:04:24,en_marche,0.7,0.8,0.87
2025-06-04 03:05:24,en_marche,0.63,0.66,1.33
2025-06-04 03:06:24,en_marche,0.39,0.97,0.49
2025-06-04 03:07:24,en_marche,0.44,0.7,0.75
2025-06-04 03:08:24,en_marche,0.57,0.72,1.15
2025-06-04 03:09:24,en_marche,0.96,1.16,1.0
2025-06-04 03:10:24,en_marche,0.85,1.14,0.33
2025-06-04 03:11:24,en_marche,0.45,0.58,1.02
2025-06-04 03:12:24,en_marche,0.88,1.05,0.75
2025-06-04 03:13:24,en_marche,0.75,0.47,0.76
2025-06-04 03:14:24,en_marche,1.02,0.73,0.25
2025-06-04 03:15:24,en_marche,0.67,1.2,0.68
2025-06-04 03:16:24,en_marche,0.29,1.01,0.77
2025-06-04 03:17:24,en_marche,1.11,1.22,0.89
2025-06-04 03:18:24,en_marche,0.96,0.73,0.78
2025-06-04 03:19:24,en_marche,0.89,0.58,1.09
2025-06-04 03:20:24,en_marche,0.64,0.68,0.82
2025-06-04 03:21:24,en_marche,0.94,0.78,0.65
2025-06-04 03:22:24,en_marche,1.13,1.11,0.36
2025-06-04 03:23:24,en_marche,1.23,1.08,0.19
2025-06-04 03:24:24,en_marche,0.95,0.9,0.89
2025-06-04 03:25:24,en_marche,1.44,0.7,1.07
2025-06-04 03:26:24,en_marche,0.71,0.26,0.52
2025-06-04 03:27:24,en_marche,0.75,0.2,0.6
2025-06-04 03:28:24,en_marche,1.46,0.78,0.48
2025-06-04 03:29:24,en_marche,0.98,0.98,0.48
2025-06-04 03:30:24,en_marche,1.0,0.94,0.92
2025-06-04 03:31:24,en_marche,0.99,0.9,0.34
2025-06-04 03:32:24,en_marche,0.89,0.39,0.21
2025-06-04 03:33:24,en_marche,1.02,0.4,0.58
2025-06-04 03:34:24,en_marche,0.58,0.58,0.82
2025-06-04 03:35:24,en_marche,0.58,1.02,0.76
2025-06-04 03:36:24,en_marche,1.03,0.75,0.4
2025-06-04 03:37:24,en_marche,0.17,0.44,0.96
2025-06-04 03:38:24,en_marche,0.49,0.27,0.32
2025-06-04 03:39:24,en_marche,0.6,1.0,0.9
2025-06-04 03:40:24,en_marche,0.64,0.58,0.89
2025-06-04 03:41:24,en_marche,1.22,0.83,0.42
2025-06-04 03:42:24,en_marche,0.98,0.7,1.21
2025-06-04 03:43:24,en_marche,0.9,0.55,0.56
2025-06-04 03:44:24,en_marche,0.81,1.31,0.82
2025-06-04 03:45:24,en_marche,0.86,0.74,0.7
2025-06-04 03:46:24,en_marche,0.69,0.61,0.53
2025-06-04 03:47:24,en_marche,0.61,1.13,0.65
2025-06-04 03:48:24,en_marche,0.74,0.34,0.99
2025-06-04 03:49:24,en_marche,0.8,0.63,0.79
2025-06-04 03:50:24,en_marche,0.81,0.45,1.08
2025-06-04 03:51:24,en_marche,0.78,1.28,0.69
2025-06-04 03:52:24,en_marche,0.81,0.72,0.67
2025-06-04 03:53:24,en_marche,0.63,0.92,0.78
2025-06-04 03:54:24,en_marche,1.2,0.46,0.9
2025-06-04 03:55:24,en_marche,0.58,0.8,0.59
2025-06-04 03:56:24,en_marche,0.76,1.07,0.97
2025-06-04 03:57:24,en_marche,1.37,1.1,0.64
2025-06-04 03:58:24,en_marche,0.58,0.6,0.95
2025-06-04 03:59:24,en_marche,1.36,0.74,0.57
2025-06-04 04:00:24,en_marche,0.55,0.42,0.87
2025-06-04 04:01:24,en_marche,1.01,0.95,0.61
2025-06-04 04:02:24,en_marche,0.77,1.19,0.73
2025-06-04 04:03:24,en_marche,1.4,0.91,0.62
2025-06-04 04:04:24,en_marche,0.71,0.81,1.39
2025-06-04 04:05:24,en_marche,1.14,0.75,0.77
2025-06-04 04:06:24,en_marche,0.87,0.81,1.04
2025-06-04 04:07:24,en_marche,1.08,0.48,0.55
2025-06-04 04:08:24,en_marche,1.16,0.97,1.03
2025-06-04 04:09:24,en_marche,1.53,0.59,1.04
2025-06-04 04:10:24,en_marche,0.89,0.49,0.85
2025-06-04 04:11:24,en_marche,0.79,1.01,0.61
2025-06-04 04:12:24,en_marche,0.91,0.68,0.92
2025-06-04 04:13:24,en_marche,0.58,0.54,0.35
2025-06-04 04:14:24,en_marche,1.27,1.16,1.13
2025-06-04 04:15:24,en_marche,1.01,0.69,0.71
2025-06-04 04:16:24,en_marche,0.58,0.56,0.99
2025-06-04 04:17:24,en_marche,0.62,0.4,0.8
2025-06-04 04:18:24,en_marche,0.96,0.59,1.32
2025-06-04 04:19:24,en_marche,0.43,0.7,0.67
2025-06-04 04:20:24,en_marche,0.33,0.29,1.13
2025-06-04 04:21:24,en_marche,0.71,1.19,0.88
2025-06-04 04:22:24,en_marche,1.05,0.78,1.23
2025-06-04 04:23:24,en_marche,0.72,0.79,0.8
2025-06-04 04:24:24,en_marche,0.73,0.91,1.08
2025-06-04 04:25:24,en_marche,0.48,0.59,0.77
2025-06-04 04:26:24,en_marche,0.29,0.84,1.18
2025-06-04 04:27:24,en_marche,0.95,0.66,1.12
2025-06-04 04:28:24,en_marche,0.66,0.28,0.82
2025-06-04 04:29:24,en_marche,1.32,0.16,0.51
2025-06-04 04:30:24,en_marche,1.04,1.04,0.37
2025-06-04 04:31:24,en_marche,0.42,0.65,1.09
2025-06-04 04:32:24,en_marche,0.88,0.66,0.5
2025-06-04 04:33:24,en_marche,0.7,0.24,0.69
2025-06-04 04:34:24,en_marche,0.84,0.96,0.71
2025-06-04 04:35:24,en_marche,0.69,1.27,0.58
2025-06-04 04:36:24,en_marche,0.31,0.57,0.73
2025-06-04 04:37:24,en_marche,0.79,1.09,1.08
2025-06-04 04:38:24,en_marche,0.41,0.97,1.37
2025-06-04 04:39:24,en_marche,1.13,1.37,0.91
2025-06-04 04:40:24,en_marche,0.88,0.79,0.5
2025-06-04 04:41:24,en_marche,1.07,1.03,1.19
2025-06-04 04:42:24,en_marche,0.58,0.54,0.64
2025-06-04 04:43:24,en_marche,0.21,0.66,1.02
2025-06-04 04:44:24,en_marche,0.91,0.55,0.29
2025-06-04 04:45:24,en_marche,1.27,1.29,0.46
2025-06-04 04:46:24,en_marche,0.62,0.83,0.78
2025-06-04 04:47:24,en_marche,0.41,0.25,1.22
2025-06-04 04:48:24,en_marche,0.54,0.72,0.64
2025-06-04 04:49:24,en_marche,0.34,1.22,0.82
2025-06-04 04:50:24,en_marche,0.78,1.28,0.68
2025-06-04 04:51:24,en_marche,0.24,1.09,1.03
2025-06-04 04:52:24,en_marche,0.94,0.57,0.64
2025-06-04 04:53:24,en_marche,0.73,0.75,0.64
2025-06-04 04:54:24,en_marche,0.74,0.8,0.52
2025-06-04 04:55:24,en_marche,0.93,1.0,0.78
2025-06-04 04:56:24,en_marche,0.27,0.59,1.0
2025-06-04 04:57:24,en_marche,0.79,0.85,0.86
2025-06-04 04:58:24,en_marche,1.16,0.63,1.42
2025-06-04 04:59:24,en_marche,0.5,1.02,0.55
2025-06-04 05:00:24,en_marche,0.64,0.84,0.7
2025-06-04 05:01:24,en_marche,0.93,0.76,0.69
2025-06-04 05:02:24,en_marche,0.78,0.69,0.97
2025-06-04 05:03:24,en_marche,0.53,1.21,0.83
2025-06-04 05:04:24,en_marche,0.78,0.81,0.67
2025-06-04 05:05:24,en_marche,0.71,0.58,0.35
2025-06-04 05:06:24,en_marche,1.31,1.02,1.43
2025-06-04 05:07:24,en_marche,0.8,0.83,1.07
2025-06-04 05:08:24,en_marche,1.2,0.65,1.07
2025-06-04 05:09:24,en_marche,0.79,0.96,0.93
2025-06-04 05:10:24,en_marche,0.71,0.67,1.17
2025-06-04 05:11:24,en_marche,1.14,0.25,1.16
2025-06-04 05:12:24,en_marche,1.08,0.69,0.73
2025-06-04 05:13:24,en_marche,0.49,0.48,1.03
2025-06-04 05:14:24,en_marche,0.42,0.89,0.85
2025-06-04 05:15:24,en_marche,0.69,0.63,0.71
2025-06-04 05:16:24,en_marche,0.91,0.52,0.43
2025-06-04 05:17:24,en_marche,0.9,0.74,1.33
2025-06-04 05:18:24,en_marche,0.9,0.45,0.54
2025-06-04 05:19:24,en_marche,0.61,0.77,1.24
2025-06-04 05:20:24,en_marche,0.42,0.91,1.13
2025-06-04 05:21:24,en_marche,1.01,1.07,0.84
2025-06-04 05:22:24,en_marche,0.73,0.44,0.48
2025-06-04 05:23:24,en_marche,1.01,0.48,0.89
2025-06-04 05:24:24,en_marche,0.89,1.28,0.91
2025-06-04 05:25:24,en_marche,1.03,0.52,1.1
2025-06-04 05:26:24,en_marche,0.85,1.0,0.69
2025-06-04 05:27:24,en_marche,0.31,1.45,0.94
2025-06-04 05:28:24,en_marche,0.74,0.94,0.63
2025-06-04 05:29:24,en_marche,1.03,0.69,0.65
2025-06-04 05:30:24,en_marche,1.06,0.91,0.35
2025-06-04 05:31:24,en_marche,0.72,1.03,0.2
2025-06-04 05:32:24,en_marche,0.31,0.78,1.01
2025-06-04 05:33:24,en_marche,0.4,0.72,0.75
2025-06-04 05:34:24,en_marche,0.41,0.39,1.06
2025-06-04 05:35:24,en_marche,0.45,0.66,0.63
2025-06-04 05:36:24,en_marche,0.57,1.06,0.41
2025-06-04 05:37:24,en_marche,1.08,0.76,0.94
2025-06-04 05:38:24,en_marche,0.23,0.76,0.81
2025-06-04 05:39:24,en_marche,0.94,0.82,0.74
2025-06-04 05:40:24,en_marche,0.9,0.73,0.93
2025-06-04 05:41:24,en_marche,1.39,0.54,1.21
2025-06-04 05:42:24,en_marche,0.73,0.91,0.94
2025-06-04 05:43:24,en_marche,0.61,0.3,0.69
2025-06-04 05:44:24,en_marche,0.69,1.07,0.95
2025-06-04 05:45:24,en_marche,0.6,0.85,0.56
2025-06-04 05:46:24,en_marche,0.45,1.13,0.9
2025-06-04 05:47:24,en_marche,0.22,0.77,0.8
2025-06-04 05:48:24,en_marche,1.03,1.39,0.93
2025-06-04 05:49:24,en_marche,0.58,0.49,1.29
2025-06-04 05:50:24,en_marche,0.85,0.59,0.65
2025-06-04 05:51:24,en_marche,0.35,0.35,1.17
2025-06-04 05:52:24,en_marche,1.09,0.73,0.6
2025-06-04 05:53:24,en_marche,0.55,0.64,1.2
2025-06-04 05:54:24,en_marche,0.93,0.89,0.9
2025-06-04 05:55:24,en_marche,0.8,0.86,0.85
2025-06-04 05:56:24,en_marche,0.98,0.45,1.06
2025-06-04 05:57:24,en_marche,0.67,0.66,0.87
2025-06-04 05:58:24,en_marche,0.66,0.66,0.48
2025-06-04 05:59:24,en_marche,0.63,0.98,0.27
2025-06-04 06:00:24,en_marche,0.67,0.68,0.64
2025-06-04 06:01:24,en_marche,0.19,0.88,0.91
2025-06-04 06:02:24,en_marche,1.12,0.48,1.03
2025-06-04 06:03:24,en_marche,0.66,0.67,0.91
2025-06-04 06:04:24,en_marche,0.59,0.25,0.58
2025-06-04 06:05:24,en_marche,0.57,1.13,0.36
2025-06-04 06:06:24,en_marche,0.9,0.43,0.94
2025-06-04 06:07:24,en_marche,0.65,0.44,0.94
2025-06-04 06:08:24,en_marche,1.26,0.71,1.15
2025-06-04 06:09:24,en_marche,1.3,0.96,1.01
2025-06-04 06:10:24,en_marche,0.78,0.61,0.83
2025-06-04 06:11:24,en_marche,0.39,1.02,0.58
2025-06-04 06:12:24,en_marche,0.6,0.63,0.72
2025-06-04 06:13:24,en_marche,0.84,0.9,0.36
2025-06-04 06:14:24,en_marche,0.66,0.94,0.46
2025-06-04 06:15:24,en_marche,0.65,0.81,0.52
2025-06-04 06:16:24,en_marche,1.2,0.63,0.5
2025-06-04 06:17:24,en_marche,1.27,0.58,0.51
2025-06-04 06:18:24,en_marche,0.66,0.89,1.4
2025-06-04 06:19:24,en_marche,0.71,0.93,0.74
2025-06-04 06:20:24,en_marche,1.26,0.74,0.67
2025-06-04 06:21:24,en_marche,0.97,0.53,1.11
2025-06-04 06:22:24,en_marche,1.23,0.2,0.94
2025-06-04 06:23:24,en_marche,0.58,0.99,0.76
2025-06-04 06:24:24,en_marche,0.84,0.35,1.03
2025-06-04 06:25:24,en_marche,0.87,0.86,0.93
2025-06-04 06:26:24,en_marche,1.19,0.56,0.59
2025-06-04 06:27:24,en_marche,0.29,0.96,0.68
2025-06-04 06:28:24,en_marche,0.53,0.72,0.73
2025-06-04 06:29:24,en_marche,0.95,0.85,0.62
2025-06-04 06:30:24,en_marche,0.81,0.67,0.51
2025-06-04 06:31:24,en_marche,0.77,0.35,0.7
2025-06-04 06:32:24,en_marche,0.62,0.77,0.91
2025-06-04 06:33:24,en_marche,0.79,1.05,0.86
2025-06-04 06:34:24,en_marche,0.92,0.49,0.64
2025-06-04 06:35:24,en_marche,0.76,1.23,0.93
2025-06-04 06:36:24,en_marche,0.75,0.62,0.98
2025-06-04 06:37:24,en_marche,0.72,0.52,0.46
2025-06-04 06:38:24,en_marche,1.01,1.37,0.87
2025-06-04 06:39:24,en_marche,1.07,0.63,0.92
2025-06-04 06:40:24,en_marche,0.64,1.02,0.5
2025-06-04 06:41:24,en_marche,0.69,1.52,1.12
2025-06-04 06:42:24,en_marche,0.59,0.6,0.87
2025-06-04 06:43:24,en_marche,0.31,1.15,1.03
2025-06-04 06:44:24,en_marche,0.78,0.83,1.15
2025-06-04 06:45:24,en_marche,0.48,0.77,0.56
2025-06-04 06:46:24,en_marche,0.66,0.47,0.96
2025-06-04 06:47:24,en_marche,0.7,1.16,0.92
2025-06-04 06:48:24,en_marche,1.14,0.47,0.5
2025-06-04 06:49:24,en_marche,1.03,1.06,1.08
2025-06-04 06:50:24,en_marche,0.83,0.77,0.63
2025-06-04 06:51:24,en_marche,0.33,1.07,0.98
2025-06-04 06:52:24,en_marche,0.24,1.17,0.97
2025-06-04 06:53:24,en_marche,0.63,0.75,0.58
2025-06-04 06:54:24,en_marche,0.95,0.67,1.25
2025-06-04 06:55:24,en_marche,0.8,0.82,0.99
2025-06-04 06:56:24,en_marche,0.52,1.05,1.21
2025-06-04 06:57:24,en_marche,0.74,1.16,1.03
2025-06-04 06:58:24,en_marche,0.2,1.05,0.89
2025-06-04 06:59:24,en_marche,0.39,0.91,1.35
2025-06-04 07:00:24,en_marche,0.48,1.25,0.24
2025-06-04 07:01:24,en_marche,0.61,0.61,0.59
2025-06-04 07:02:24,en_marche,1.17,0.43,0.85
2025-06-04 07:03:24,en_marche,0.89,0.56,0.99
2025-06-04 07:04:24,en_marche,0.71,0.3,0.84
2025-06-04 07:05:24,en_marche,0.88,1.08,0.99
2025-06-04 07:06:24,en_marche,0.94,0.18,0.68
2025-06-04 07:07:24,en_marche,0.79,0.37,1.24
2025-06-04 07:08:24,en_marche,0.5,0.91,0.94
2025-06-04 07:09:24,en_marche,0.32,0.52,1.46
2025-06-04 07:10:24,en_marche,0.63,0.78,0.23
2025-06-04 07:11:24,en_marche,1.01,0.63,1.24
2025-06-04 07:12:24,en_marche,0.78,1.18,1.22
2025-06-04 07:13:24,en_marche,0.58,0.75,0.45
2025-06-04 07:14:24,en_marche,0.73,0.56,0.87
2025-06-04 07:15:24,en_marche,0.7,0.63,0.76
2025-06-04 07:16:24,en_marche,0.93,0.72,1.24
2025-06-04 07:17:24,en_marche,1.26,0.98,1.2
2025-06-04 07:18:24,en_marche,0.59,0.97,1.04
